PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the GR agonist mode screen.,Percent activation in the ratio readout of the GR agonist mode screen.,Type of compound activity in the 530 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the GR agonist mode screen.,Percent activation in the 530 nm readout of the GR agonist mode screen.,Type of compound activity in the 460 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the GR agonist mode screen.,Percent activation in the 460 nm readout of the GR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
4995,144208548,3598,Inconclusive,5,,,inconclusive,inconclusive agonist,54.8133,237.346,active antagonist,49.9903,-102.096,inconclusive antagonist,,0,inactive,SIGMA
4996,144208549,3613389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
4997,144208550,5569,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Supelco
4998,144208551,6732,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
4999,144208552,31368,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5000,144208553,108242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Toronto Research
5001,144208554,3030,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5002,144208555,36324,Inconclusive,5,,,inconclusive,inconclusive agonist,49.188,20.9223,inconclusive antagonist,58.46,-43.8165,inactive,,0,inactive,SigmaAldrich
5003,144208556,8638,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5004,144208557,2763,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5005,144208558,7415,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5006,144208559,12971,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5007,144208560,7761,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5008,144208561,31344,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5009,144208562,15615,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5010,144208563,2724189,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5011,144208564,5753,Active,48,,,active agonist,active agonist,0.0840024,27.6779,inactive,,0,active agonist,0.227837,50.801,inactive,SIGMA
5012,144208565,3767,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5013,144208566,8630,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5014,144208567,6537,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5015,144208568,7471,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5016,144208569,4943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Research Biochemical
5017,144208570,6984,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5018,144208571,957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5019,144208572,445154,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChromaDex
5020,144208573,5870,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5021,144208574,4169,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5022,144208575,23676704,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5023,144208576,13144,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Pfaltz-Bauer
5024,144208577,9993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5025,144208578,7486,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5026,144208579,9862,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5027,144208580,8183,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5028,144208581,15797,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inactive,,0,inconclusive agonist,,0,inactive,SigmaAldrich
5029,144208582,3672,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,0,inactive,,0,inconclusive agonist,,0,inactive,SigmaAldrich
5030,144208583,135398735,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5031,144208584,16230,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5032,144208585,8846,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5033,144208586,6672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5034,144208587,7567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5035,144208588,2708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5036,144208589,2727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5037,144208590,15286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5038,144208591,18283,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5039,144208592,4937,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5040,144208593,51556,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5041,144208594,80779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5042,144208595,5988,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5043,144208596,11169,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5044,144208597,7713,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5045,144208598,7963,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5046,144208599,17857,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5047,144208600,18529,Inconclusive,5,,,inconclusive,active agonist,48.7686,71.1186,inconclusive antagonist,38.7383,-88.8774,inactive,,0,inactive,SigmaAldrich
5048,144208601,5284421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5049,144208602,9552079,Inconclusive,5,,,inconclusive,active agonist,54.4305,135.221,active antagonist,38.5339,-99.7927,inconclusive antagonist,34.3433,-63.6839,inactive,SigmaAldrich
5050,144208603,7592,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5051,144208604,8697,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5052,144208605,6849,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5053,144208606,7810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5054,144208607,3017,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5055,144208608,7245,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5056,144208609,7261,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
5057,144208610,228987,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5058,144208611,32154,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5059,144208612,13263,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5060,144208613,454,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5061,144208614,2734171,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Promy Chemical
5062,144208615,11729,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5063,144208616,6937,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5064,144208617,14264,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5065,144208618,938,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5066,144208619,15531,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5067,144208620,5365125,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Interchem
5068,144208621,638034,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5069,144208622,7573,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5070,144208623,15630,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5071,144208624,6896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5072,144208625,7839,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5073,144208626,5280961,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5074,144208627,3037,Inconclusive,5,,,inconclusive,active agonist,55.9441,179.67,active antagonist,55.9441,-101.78,active antagonist,58.1328,-33.5382,inactive,SIGMA
5075,144208628,13165,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5076,144208629,22833326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5077,144208630,40585,Inconclusive,5,,,inconclusive,inconclusive agonist,53.9816,32.1011,inconclusive antagonist,57.1802,-61.7007,inactive,,0,inactive,ChemService
5078,144208631,10793,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,52.7677,31.4228,inactive,Alfa Aesar
5079,144208632,30360,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5080,144208633,15553,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5081,144208634,7946,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5082,144208635,25054,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5083,144208636,3120,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5084,144208637,8800,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5085,144208638,7610,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5086,144208639,16724,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5087,144208640,6947,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5088,144208641,7915,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5089,144208642,5281708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5090,144208643,7394,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5091,144208644,13521,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5092,144208645,7057995,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5093,144208646,39327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5094,144208647,12868,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,City Chemical
5095,144208648,40399,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5096,144208649,5383,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5097,144208650,7947,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5098,144208651,8111,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5099,144208652,638014,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5100,144208653,82190,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5101,144208654,62485,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5102,144208655,6838,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Supelco
5103,144208656,2272,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5104,144208657,33528,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
5105,144208658,7000,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5106,144208659,8033,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5107,144208660,1493,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5108,144208661,7497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5109,144208662,7473,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5110,144208663,5104,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
5111,144208664,73665,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,59.4376,-30.8942,inactive,SIGMA
5112,144208665,73864,Inconclusive,5,,,inconclusive,active agonist,61.3734,32.1245,active antagonist,61.3734,-70.1479,inconclusive antagonist,46.0236,-35.48,inactive,SIGMA
5113,144208666,65064,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5114,144208667,43234,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5115,144208668,8091,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5116,144208669,338,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5117,144208670,8980,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5118,144208671,26295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5119,144208672,12276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5120,144208673,53232,Inconclusive,5,,,inconclusive,active agonist,62.4982,107.563,active antagonist,70.1241,-102.582,active antagonist,55.7015,-55.5876,inactive,SigmaAldrich
5121,144208674,2735009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5122,144208675,4421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5123,144208676,7047,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5124,144208677,8141,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5125,144208678,10850,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5126,144208679,7966,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5127,144208680,8119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5128,144208681,11579,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5129,144208682,73675,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inconclusive antagonist,,0,inactive,SIGMA
5130,144208683,8087,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5131,144208684,39424,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,Crescent
5132,144208685,6251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5133,144208686,8139,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5134,144208687,13286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5135,144208688,6406,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5136,144208689,62783,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5137,144208690,7789,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5138,144208691,135465076,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5139,144208692,7837,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5140,144208693,3036,Inconclusive,5,,,inconclusive,active agonist,55.3378,119.188,active antagonist,49.3199,-85.664,inconclusive antagonist,53.7678,-33.3413,inactive,SIGMA
5141,144208694,7061,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5142,144208695,12463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5143,144208696,2734956,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5144,144208697,14286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5145,144208698,41206,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5146,144208699,7220,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5147,144208700,15909,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5148,144208701,22420,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,SIGMA
5149,144208702,795,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5150,144208703,7833,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5151,144208704,57363,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5152,144208705,5503,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5153,144208706,11957,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5154,144208707,9415,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5155,144208708,6418,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5156,144208709,8289,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Fisher
5157,144208710,5271566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5158,144208711,10005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5159,144208712,21531,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5160,144208713,7391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5161,144208714,16560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5162,144208715,8892,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5163,144208716,9352,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5164,144208717,8561,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
5165,144208718,169132,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5166,144208719,8341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,39.6714,-30.2224,inactive,SIGMA
5167,144208720,11123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5168,144208721,7249,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5169,144208722,67172,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5170,144208723,12232,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,SIGMA
5171,144208724,6579,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5172,144208725,896,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5173,144208726,338733,Inconclusive,5,,,inconclusive,inconclusive agonist,41.9218,79.186,active antagonist,32.3549,-76.025,active antagonist,22.2556,-37.7939,inactive,Alfa Aesar
5174,144208727,8398,Inconclusive,5,,,inconclusive,active agonist,21.9822,193.192,active antagonist,11.8961,-84.5146,active antagonist,11.0172,-39.5489,inactive,SigmaAldrich
5175,144208728,5281872,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5176,144208729,47326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5177,144208730,6498,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5178,144208731,31242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5179,144208732,12958,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5180,144208733,12713,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5181,144208734,525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5182,144208735,61057,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5183,144208736,23667648,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5184,144208737,16013,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5185,144208738,28777,Inconclusive,5,,,inconclusive,inconclusive agonist,61.592,39.9631,inconclusive antagonist,61.592,-76.5305,inconclusive antagonist,58.1466,-34.3983,inactive,Sensient
5186,144208739,24309,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5187,144208740,5280443,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,39.4288,-26.6854,inactive,SigmaAldrich
5188,144208741,4133,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5189,144208742,6009,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5190,144208743,7271,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5191,144208744,6529,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Fisher
5192,144208745,6167,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,SIGMA
5193,144208746,11167,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5194,144208747,8816,Inconclusive,5,,,inconclusive,inconclusive agonist,57.5187,148.903,active antagonist,34.2617,-95.0099,active antagonist,21.2068,-48.9692,inactive,TCI
5195,144208748,7104,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5196,144208749,37175,Inconclusive,5,,,inconclusive,inconclusive agonist,58.3745,20.5746,active antagonist,53.0343,-45.8043,inactive,,0,inactive,SigmaAldrich
5197,144208750,7327,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5198,144208751,7642,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Sensient
5199,144208752,7347,Active,44,,,active agonist,active agonist,0.796235,20.2113,inactive,,0,inconclusive agonist,,0,inactive,SigmaAldrich
5200,144208753,31279,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5201,144208754,6837,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5202,144208755,13246,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5203,144208756,8723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5204,144208757,1986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5205,144208758,15767,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5206,144208759,7991,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5207,144208760,2314,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5208,144208761,7173,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5209,144208762,5865,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5210,144208763,3639,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5211,144208764,8419,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5212,144208765,11937,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,2.91249,28.4233,active agonist,19.8425,61.2461,active agonist,4.44219,74.2569,fluorescent,SIGMA
5213,144208766,7352,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,SIGMA
5214,144208767,5455,Active,47,,,active agonist,active agonist,0.0608011,22.7249,inactive,,0,inconclusive agonist,0.0341909,27.1035,inactive,SIGMA
5215,144208768,6423,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5216,144208769,12251,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5217,144208770,16653,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,ChemService
5218,144208771,7351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
5219,144208772,73672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5220,144208773,7864,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
5221,144208774,10541,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
