PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
1190,144204741,60910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
1191,144204742,6436135,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,8.01052,42.51,inactive,,0,Tocris
1192,144204743,65399,Inconclusive,10,,,inconclusive agonist (cytotoxic),active agonist,1.5089,123.253,inactive,,0,active agonist,1.75925,80.8115,inconclusive antagonist,1.34481,-48.1018,Tocris
1193,144204744,57364,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
1194,144204745,60703,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1195,144204746,3045335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,Tocris
1196,144204747,5280360,Inconclusive,20,,,active agonist,active agonist,4.95824,68.8686,inactive,,0,active agonist,2.30141,102.029,inactive,,0,Tocris
1197,144204748,107930,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
1198,144204749,60196272,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,14.2449,-56.8083,inactive,,0,active antagonist,13.4481,-59.3476,inactive,,0,Tocris
1199,144204750,63009,Inconclusive,5,,,inconclusive,inconclusive antagonist,16.9301,-52.1954,inconclusive,,0,inconclusive agonist,0.477156,114.77,inactive,,0,Bionet
1200,144204751,6291,Active,49,,,active antagonist,active antagonist,9.52052,-44.0465,inactive,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1201,144204752,37768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
1202,144204753,936,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
1203,144204754,6253,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,2.01215,42.2992,inactive,,0,inconclusive agonist,1.19856,46.804,inconclusive agonist,,0,Labotest
1204,144204755,7389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
1205,144204756,9060,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,22.7043,inactive,,0,BIOMOL
1206,144204757,71417,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1207,144204758,51763,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1208,144204759,73334,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,11.9856,29.2983,inactive,,0,inactive,,0,SigmaAldrich
1209,144204760,5462653,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1210,144204761,71587,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1211,144204762,180559,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,BIOMOL
1212,144204763,148673,Inconclusive,10,,,inconclusive agonist (cytotoxic),active agonist,16.2927,137.336,inconclusive antagonist,18.9959,-57.0007,inconclusive agonist,11.3152,100.649,inconclusive antagonist,18.9959,-60.267,SigmaAldrich
1213,144204764,446727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1214,144204765,169743,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1215,144204766,6852400,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-61.1918,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1216,144204767,60196273,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1217,144204768,60196274,Inconclusive,20,,,active agonist,active agonist,9.89298,103.522,inactive,,0,active agonist,3.51016,69.839,inactive,,0,SigmaAldrich
1218,144204769,36605,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1219,144204770,854019,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,BIOMOL
1220,144204771,60839,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1221,144204772,10131132,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1222,144204773,5881,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,16.9301,-63.5741,inactive,,0,inconclusive antagonist,18.9959,-73.2486,inactive,,0,Labotest
1223,144204774,23694217,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1224,144204775,57004,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1225,144204776,6918215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1226,144204777,37274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1227,144204778,3058739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,SigmaAldrich
1228,144204779,5983,Inconclusive,20,,,active agonist,active agonist,4.09255,62.0261,inactive,,0,inconclusive agonist,1.26958,81.4169,inactive,,0,BIOMOL
1229,144204780,6917728,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1230,144204781,68626,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,0,Microsource
1231,144204782,18343,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1232,144204783,6435335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,8.01052,49.7364,inactive,,0,SigmaAldrich
1233,144204784,6238,Active,67,,,active antagonist,active antagonist,1.11001,-100.984,inactive,,0,active antagonist,1.89959,-95.8216,inactive,,0,SigmaAldrich
1234,144204785,66091,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1235,144204786,441337,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1236,144204787,636362,Inconclusive,20,,,active agonist,active agonist,0.700369,213.568,inconclusive antagonist,7.13938,-57.735,inconclusive agonist,,72.2595,active antagonist,2.68325,-87.0784,Sequoia
1237,144204788,11957572,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1238,144204789,10314472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1239,144204790,55305,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1240,144204791,23704140,Active,53,,,active antagonist,active antagonist,6.00704,-63.8507,inactive,,0,inconclusive antagonist,0.318904,-28.4982,inactive,,0,SigmaAldrich
1241,144204792,11957593,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1242,144204793,104762,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1243,144204794,28767,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,SigmaAldrich
1244,144204795,60662,Inconclusive,5,,,inconclusive,inconclusive agonist,18.9959,431.942,active antagonist,18.2807,-95.4592,active antagonist,16.2927,-157.005,active antagonist,12.9418,-112.94,SigmaAldrich
1245,144204796,9082,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1246,144204797,135242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1247,144204798,6433339,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,0,SigmaAldrich
1248,144204799,6081,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1249,144204801,21467,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1250,144204802,54685925,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1251,144204803,6420042,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1252,144204804,16219744,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1253,144204805,441350,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,9.52052,-107.985,inactive,,0,ASDI
1254,144204806,3074827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1255,144204807,11957635,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1256,144204808,8667,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,9.52052,29.4312,inactive,,0,Microsource
1257,144204809,84605,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1258,144204810,5358907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1259,144204811,11957654,Inconclusive,5,,,inconclusive,inconclusive antagonist,,188.709,inconclusive antagonist,26.8325,-73.6817,inconclusive,,0,active antagonist,26.8325,-95.018,SigmaAldrich
1260,144204812,65341,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1261,144204813,442291,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1262,144204814,5281064,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1263,144204815,135418296,Active,54,,,active antagonist,active antagonist,0.477156,-37.9964,inactive,,0,inconclusive antagonist,0.15089,-38.7558,inactive,,0,SigmaAldrich
1264,144204816,11957669,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1265,144204817,9279,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1266,144204818,7550,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1267,144204819,66245,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
1268,144204820,22475,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1269,144204821,71077,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
1270,144204822,56801,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,active agonist,8.01052,67.2186,inactive,,0,SIGMA
1271,144204823,123015,Active,55,,,active antagonist,active antagonist,18.2807,-130.727,active agonist,26.8325,47.7258,active antagonist,5.56323,-70.2757,inconclusive antagonist,,0,SigmaAldrich
1272,144204824,5311064,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1273,144204825,9899402,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1274,144204826,66007,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1275,144204827,6434250,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1276,144204828,66069,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inconclusive antagonist,25.3315,-44.3406,Microsource
1277,144204829,5702285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,Microsource
1278,144204830,11957707,Inconclusive,5,,,inconclusive,inconclusive agonist,5.35378,315.073,inconclusive antagonist,,0,inactive,,0,inactive,,0,SigmaAldrich
1279,144204831,3060974,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,5.35378,-61.4063,active antagonist,27.8822,-69.2657,active antagonist,19.7391,-162.692,inconclusive antagonist,23.9145,-107.673,SigmaAldrich
1280,144204832,73093,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,5.05429,-24.3272,inactive,,0,inconclusive antagonist,9.52052,-39.6175,inactive,,0,SigmaAldrich
1281,144204833,5946,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1282,144204834,27944,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1283,144204835,443951,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,BIOMOL
1284,144204836,11647992,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1285,144204837,11957725,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1286,144204838,167980,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,SigmaAldrich
1287,144204839,115227,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1288,144204840,60196275,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1289,144204841,6420041,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1290,144204842,2871,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inactive,,0,Microsource
1291,144204843,5216,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1292,144204844,3120,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1293,144204845,4685,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1294,144204846,727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
1295,144204847,6434889,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,23.9145,-73.2365,inactive,,0,active antagonist,23.9145,-47.6752,inactive,,0,Microsource
1296,144204848,2075,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1297,144204849,4767,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,0,inactive,,0,Microsource
1298,144204850,86287518,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1299,144204851,36324,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1300,144204852,3352,Inconclusive,5,,,inconclusive,inconclusive agonist,23.9145,72.1467,inactive,,0,inconclusive,,0,inactive,,0,BIOMOL
1301,144204853,1990,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1302,144204855,33613,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1303,144204856,1201549,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1304,144204857,20933,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1305,144204858,2723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1306,144204859,5959,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1307,144204860,46224595,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,Microsource
1308,144204861,3023,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1309,144204862,21653,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1310,144204863,65326,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1311,144204864,12560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1312,144204865,13791,Active,56,,,active antagonist,active antagonist,7.2777,-91.1098,inactive,,0,active antagonist,7.56242,-85.5496,inconclusive antagonist,,0,Microsource
1313,144204866,102428,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1314,144204867,2723635,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,Microsource
1315,144204868,23702555,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,0,Microsource
1316,144204869,3718,Inconclusive,20,,,active agonist,active agonist,7.00369,60.8216,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1317,144204870,6883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,16.8082,inactive,,0,Microsource
1318,144204871,11333,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1319,144204872,6279,Active,62,,,active antagonist,active antagonist,0.0989298,-53.177,inactive,,0,active antagonist,0.106822,-38.7233,inactive,,0,Microsource
1320,144204873,23678596,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1321,144204874,4511,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1322,144204875,6230,Active,65,,,active antagonist,active antagonist,3.25083,-123.976,inactive,,0,active antagonist,3.93847,-133.041,inconclusive antagonist,,-20.2545,Microsource
1323,144204876,83823,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,21.9724,inconclusive agonist,0.100846,37.638,Microsource
1324,144204877,160157,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1325,144204878,4753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1326,144204879,60196276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1327,144204880,5755,Inconclusive,20,,,active agonist,active agonist,0.106822,70.9823,inactive,,0,active agonist,0.2485,75.862,inactive,,0,Microsource
1328,144204881,5834,Inconclusive,20,,,active agonist,active agonist,0.278822,74.4677,inactive,,0,active agonist,0.952052,81.175,inactive,,0,Microsource
1329,144204882,135398735,Active,49,,,active antagonist,active antagonist,18.9959,-59.9354,inactive,,0,inconclusive antagonist,23.9145,-69.3723,inactive,,0,Microsource
1330,144204883,5146,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1331,144204884,16684434,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,10.0846,-46.6353,inconclusive antagonist,16.9301,-79.7712,active antagonist,4.25266,-116.656,active antagonist,5.78088,-111.596,Microsource
1332,144204885,31307,Inconclusive,20,,,active agonist,active agonist,0.162927,73.7192,inactive,,0,active agonist,0.205113,86.4513,inactive,,0,Microsource
1333,144204886,44134533,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1334,144204887,60196278,Inconclusive,5,,,inconclusive,active agonist,9.89298,256.494,active antagonist,5.15221,-86.9883,active antagonist,4.77156,-183.901,active antagonist,3.93847,-112.839,Microsource
1335,144204888,16220118,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1336,144204889,1985,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1337,144204890,443101,Inconclusive,20,,,active agonist,active agonist,3.01065,168.56,inconclusive antagonist,,0,active agonist,2.78822,107.345,inconclusive antagonist,23.9145,-92.4727,Microsource
1338,144204891,2453,Active,60,,,active antagonist,active antagonist,10.6822,-141.261,active agonist,10.6822,67.2588,active antagonist,12.4545,-111.422,inactive,,0,Microsource
1339,144204892,9794197,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1340,144204893,3362,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1341,144204894,5702132,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1342,144204895,15376,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1343,144204896,198015,Inconclusive,5,,,inconclusive,inconclusive agonist,18.9959,32.8059,inactive,,0,inconclusive,,0,inactive,,0,Microsource
1344,144204897,439174,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1345,144204898,60196279,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.9145,-82.3679,inconclusive agonist,21.3138,57.4228,inactive,,0,inactive,,0,Microsource
1346,144204899,3723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1347,144204900,2122,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1348,144204901,190,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,4.50464,34.1602,Microsource
1349,144204902,442021,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1350,144204903,92806,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,0,inactive,,0,Microsource
1351,144204904,5702162,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive,,0,inconclusive antagonist,26.8325,-68.4679,Microsource
1352,144204905,443311,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,7.85827,-106.493,inconclusive antagonist,18.9959,-70.2844,active antagonist,10.28,-161.066,active antagonist,6.24205,-95.8805,Microsource
1353,144204906,3083802,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1354,144204907,5702167,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive,,0,inconclusive antagonist,26.8325,-82.3341,Microsource
1355,144204908,33254,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1356,144204909,4059,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1357,144204910,1984,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1358,144204911,5143,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1359,144204912,9818306,Active,61,,,active antagonist,active antagonist,5.78088,-120.762,inactive,,0,active antagonist,5.78088,-125.51,inconclusive antagonist,,0,Microsource
1360,144204913,92965,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1361,144204914,656630,Inconclusive,10,,,inconclusive agonist (cytotoxic),inconclusive agonist,,52.619,inactive,,0,inconclusive agonist,,54.0065,active antagonist,0.425266,-91.1288,Microsource
1362,144204915,70912,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1363,144204916,2581,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1364,144204917,44561,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,Microsource
1365,144204918,25195407,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1366,144204919,93095,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1367,144204920,23663974,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1368,144204921,5773,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,Microsource
1369,144204922,6780,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1370,144204923,2197,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1371,144204924,124886,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1372,144204925,2345,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1373,144204926,11545,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1374,144204927,3092,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,Microsource
1375,144204928,2149,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1376,144204929,2741,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1377,144204930,2005,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1378,144204931,657306,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1379,144204932,5763,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1380,144204933,102678,Inconclusive,5,,,inconclusive,inconclusive agonist,26.8325,232.846,active antagonist,22.1476,-103.322,active antagonist,15.6793,-167.503,active antagonist,15.089,-117.292,Microsource
1381,144204934,54891,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1382,144204935,43261,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1383,144204936,7027,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1384,144204937,72139,Inconclusive,20,,,active agonist,active agonist,18.9959,65.7044,inactive,,0,active agonist,20.1215,73.821,inactive,,0,Microsource
1385,144204938,5702220,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,Microsource
1386,144204939,60196280,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1387,144204940,6136,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1388,144204941,14520,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,Microsource
1389,144204942,2799,Inconclusive,5,,,inconclusive,active agonist,21.3138,457.777,active antagonist,15.089,-92.3157,active antagonist,10.6822,-117.764,active antagonist,10.28,-104.558,Microsource
1390,144204943,66377,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1391,144204944,10969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1392,144204945,5281613,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1393,144204946,5284557,Active,73,,,active antagonist,active antagonist,0.556323,-111.456,inconclusive agonist,0.268325,20.3531,active antagonist,0.785827,-116.473,active antagonist,5.05429,-40.8068,Microsource
1394,144204947,161803,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Microsource
1395,144204948,5284439,Inconclusive,5,,,inconclusive,active agonist,26.8325,280.421,active antagonist,21.3138,-94.5636,active antagonist,19.7391,-183.155,active antagonist,16.9301,-113.631,Microsource
1396,144204949,6426773,Inconclusive,20,,,active agonist,active agonist,2.78822,261.414,active antagonist,23.0141,-72.5765,active agonist,2.05113,226.41,active antagonist,23.0141,-115.748,Microsource
